School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
MOUNT HARMONY ELEMENTARY,Maryland,MD ,Mount Harmony Elementary,Calvert County,OWINGS,MD ,1-Regular school,2-No,2-No,1-Primary,525,525,17,45,399,525,271,254,MARYLAND,31.1,16.88
MOUNT HEBRON HIGH,Maryland,MD ,Mount Hebron High,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,3-High,1517,1517,440,207,707,1517,806,711,MARYLAND,100.3,15.12
MOUNT ROYAL ELEMENTARY/MIDDLE,Maryland,MD ,Mount Royal Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,742,742,4,702,22,742,337,405,MARYLAND,45.5,16.31
MOUNT SAVAGE MIDDLE,Maryland,MD ,Mount Savage Middle,Allegany County,MOUNT SAVAGE,MD ,1-Regular school,2-No,2-No,2-Middle,395,395,9,8,358,395,215,180,MARYLAND,31.3,12.62
MOUNT VIEW MIDDLE,Maryland,MD ,Mount View Middle,Howard County,MARRIOTTSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,745,745,229,48,418,745,347,398,MARYLAND,48.4,15.39
MOUNTAIN RIDGE HIGH SCHOOL,Maryland,MD ,Mountain Ridge High School,Allegany County,FROSTBURG,MD ,1-Regular school,2-No,2-No,3-High,825,825,8,12,780,825,409,416,MARYLAND,50,16.5
MT HOPE/NANJEMOY ELEMENTARY SCHOOL,Maryland,MD ,Mt Hope/Nanjemoy Elementary School,Charles County,NANJEMOY,MD ,1-Regular school,2-No,2-No,1-Primary,326,326,0,115,174,326,179,147,MARYLAND,25.55,12.76
MT RAINIER ELEMENTARY,Maryland,MD ,Mt Rainier Elementary,Prince George's County,MT RAINIER,MD ,1-Regular school,2-No,2-No,1-Primary,309,309,9,72,24,309,165,144,MARYLAND,23.48,13.16
MT. SAVAGE ELEMENTARY,Maryland,MD ,Mt. Savage Elementary,Allegany County,MT SAVAGE,MD ,1-Regular school,2-No,2-No,1-Primary,207,207,0,0,199,207,102,105,MARYLAND,14.1,14.68
MURRAY HILL MIDDLE,Maryland,MD ,Murray Hill Middle,Howard County,LAUREL,MD ,1-Regular school,2-No,2-No,2-Middle,604,604,107,255,104,604,299,305,MARYLAND,48,12.58
MUTUAL ELEMENTARY,Maryland,MD ,Mutual Elementary,Calvert County,PORT REPUBLIC,MD ,1-Regular school,2-No,2-No,1-Primary,410,410,2,48,318,410,196,214,MARYLAND,25.8,15.89
MYERSVILLE ELEMENTARY,Maryland,MD ,Myersville Elementary,Frederick County,MYERSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,318,318,1,5,283,318,165,153,MARYLAND,21.5,14.79
N.A.C.A. FREEDOM AND DEMOCRACY ACADEMY II,Maryland,MD ,N.A.C.A. Freedom and Democracy Academy II,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,328,328,0,320,4,328,157,171,MARYLAND,20.5,16
NANTUCKET ELEMENTARY,Maryland,MD ,Nantucket Elementary,Anne Arundel County,CROFTON,MD ,1-Regular school,2-No,2-No,1-Primary,738,738,91,174,390,738,360,378,MARYLAND,43,17.16
NATIONAL ACADEMY FOUNDATION,Maryland,MD ,National Academy Foundation,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,835,835,8,743,18,835,437,398,MARYLAND,57,14.65
NEELSVILLE MIDDLE,Maryland,MD ,Neelsville Middle,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,2-Middle,911,911,74,299,71,911,465,446,MARYLAND,63.3,14.39
NEW ERA ACADEMY,Maryland,MD ,New Era Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,293,293,0,260,17,293,165,128,MARYLAND,19,15.42
NEW HAMPSHIRE ESTATES ELEM,Maryland,MD ,New Hampshire Estates Elem,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,502,502,14,89,7,502,256,246,MARYLAND,46.7,10.75
NEW HOPE ACADEMY,Maryland,MD ,New Hope Academy,Baltimore city,BALTIMORE,MD ,2-Special education school,2-No,2-No,4-Other,117,117,0,106,11,117,91,26,MARYLAND,–,–
NEW MARKET ELEMENTARY,Maryland,MD ,New Market Elementary,Frederick County,NEW MARKET,MD ,1-Regular school,2-No,1-Yes,1-Primary,700,700,24,12,600,700,342,358,MARYLAND,39.4,17.77
NEW MARKET MIDDLE,Maryland,MD ,New Market Middle,Frederick County,NEW MARKET,MD ,1-Regular school,2-No,2-No,2-Middle,487,487,2,5,435,487,256,231,MARYLAND,34,14.32
NEW MIDWAY/WOODSBORO ELEMENTARY,Maryland,MD ,New Midway/Woodsboro Elementary,Frederick County,KEYMAR,MD ,1-Regular school,2-No,2-No,1-Primary,335,335,1,5,286,335,156,179,MARYLAND,20.1,16.67
NEW SONG ACADEMY,Maryland,MD ,New Song Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,157,157,0,153,0,157,77,80,MARYLAND,13.5,11.63
NEW TOWN ELEMENTARY,Maryland,MD ,New Town Elementary,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,1-Primary,837,837,64,640,62,837,431,406,MARYLAND,47.8,17.51
NEW TOWN HIGH,Maryland,MD ,New Town High,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,3-High,986,986,5,910,34,986,519,467,MARYLAND,65,15.17
NEW WINDSOR MIDDLE,Maryland,MD ,New Windsor Middle,Carroll County,NEW WINDSOR,MD ,1-Regular school,2-No,2-No,2-Middle,382,382,5,10,346,382,205,177,MARYLAND,28.9,13.22
NEWPORT MILL MIDDLE,Maryland,MD ,Newport Mill Middle,Montgomery County,KENSINGTON,MD ,1-Regular school,2-No,2-No,2-Middle,587,587,65,97,115,587,298,289,MARYLAND,44.8,13.1
NICHOLAS OREM MIDDLE,Maryland,MD ,Nicholas Orem Middle,Prince George's County,HYATTSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,950,950,10,230,10,950,510,440,MARYLAND,61.5,15.45
NORRISVILLE ELEMENTARY,Maryland,MD ,Norrisville Elementary,Harford County,WHITE HALL,MD ,1-Regular school,2-No,2-No,1-Primary,183,183,2,0,175,183,99,84,MARYLAND,16.85,10.86
NORTH BEND ELEMENTARY,Maryland,MD ,North Bend Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,499,499,1,465,5,499,251,248,MARYLAND,28,17.82
NORTH BEND ELEMENTARY,Maryland,MD ,North Bend Elementary,Harford County,JARRETTSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,324,324,0,5,299,324,170,154,MARYLAND,22.65,14.3
NORTH BETHESDA MIDDLE,Maryland,MD ,North Bethesda Middle,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,2-Middle,1028,1028,122,60,649,1028,554,474,MARYLAND,58.6,17.54
NORTH CAROLINE HIGH SCHOOL,Maryland,MD ,North Caroline High School,Caroline County,RIDGELY,MD ,1-Regular school,2-No,2-No,3-High,1016,1016,6,131,685,1016,507,509,MARYLAND,67.5,15.05
NORTH CARROLL HIGH,Maryland,MD ,North Carroll High,Carroll County,HAMPSTEAD,MD ,1-Regular school,2-No,2-No,3-High,700,700,13,19,619,700,378,322,MARYLAND,49,14.29
NORTH CARROLL MIDDLE,Maryland,MD ,North Carroll Middle,Carroll County,HAMPSTEAD,MD ,1-Regular school,2-No,2-No,2-Middle,590,590,12,15,533,590,294,296,MARYLAND,38.3,15.4
NORTH CHEVY CHASE ELEMENTARY,Maryland,MD ,North Chevy Chase Elementary,Montgomery County,CHEVY CHASE,MD ,1-Regular school,2-No,2-No,1-Primary,387,387,20,64,218,387,203,184,MARYLAND,22,17.59
NORTH COUNTY HIGH,Maryland,MD ,North County High,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,3-High,2058,2058,81,524,1077,2058,1112,946,MARYLAND,132.17,15.57
NORTH DORCHESTER HIGH SCHOOL,Maryland,MD ,North Dorchester High School,Dorchester County,HURLOCK,MD ,1-Regular school,2-No,2-No,3-High,489,489,1,99,327,489,242,247,MARYLAND,37.25,13.13
NORTH DORCHESTER MIDDLE SCHOOL,Maryland,MD ,North Dorchester Middle School,Dorchester County,HURLOCK,MD ,1-Regular school,2-No,2-No,2-Middle,412,412,2,91,274,412,204,208,MARYLAND,31.26,13.18
NORTH EAST ELEMENTARY,Maryland,MD ,North East Elementary,Cecil County,NORTH EAST,MD ,1-Regular school,2-No,2-No,1-Primary,527,527,2,43,416,527,290,237,MARYLAND,37.1,14.2
NORTH EAST HIGH,Maryland,MD ,North East High,Cecil County,NORTH EAST,MD ,1-Regular school,2-No,2-No,3-High,1065,1065,10,76,893,1065,555,510,MARYLAND,76.1,13.99
NORTH EAST MIDDLE,Maryland,MD ,North East Middle,Cecil County,NORTH EAST,MD ,1-Regular school,2-No,2-No,2-Middle,732,732,8,45,622,732,358,374,MARYLAND,55,13.31
NORTH FORESTVILLE ELEMENTARY,Maryland,MD ,North Forestville Elementary,Prince George's County,FORESTVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,325,325,3,256,6,325,183,142,MARYLAND,35.44,9.17
NORTH FREDERICK ELEMENTARY,Maryland,MD ,North Frederick Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,1-Yes,1-Primary,635,635,48,156,243,635,323,312,MARYLAND,41.7,15.23
NORTH GLEN ELEMENTARY,Maryland,MD ,North Glen Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,271,271,14,98,86,271,150,121,MARYLAND,21.7,12.49
NORTH HAGERSTOWN HIGH,Maryland,MD ,North Hagerstown High,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,1-Yes,3-High,1262,1262,36,272,740,1262,664,598,MARYLAND,75,16.83
NORTH HARFORD ELEMENTARY,Maryland,MD ,North Harford Elementary,Harford County,PYLESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,405,405,3,3,375,405,224,181,MARYLAND,27.15,14.92
NORTH HARFORD HIGH,Maryland,MD ,North Harford High,Harford County,PYLESVILLE,MD ,1-Regular school,2-No,2-No,3-High,1219,1219,16,21,1115,1219,584,635,MARYLAND,87.75,13.89
NORTH HARFORD MIDDLE,Maryland,MD ,North Harford Middle,Harford County,PYLESVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,966,966,13,10,896,966,490,476,MARYLAND,70.26,13.75
NORTH POINT HIGH SCHOOL,Maryland,MD ,North Point High School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,3-High,1814,1814,117,1040,450,1814,913,901,MARYLAND,123,14.75
NORTH SALISBURY ELEMENTARY,Maryland,MD ,North Salisbury Elementary,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,1-Yes,1-Primary,445,445,38,161,177,445,227,218,MARYLAND,36,12.36
NORTHEAST ELEMENTARY,Maryland,MD ,Northeast Elementary,Allegany County,CUMBERLAND,MD ,1-Regular school,2-No,2-No,1-Primary,328,328,0,9,291,328,169,159,MARYLAND,19.2,17.08
NORTHEAST HIGH,Maryland,MD ,Northeast High,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,3-High,1355,1355,36,125,1034,1355,688,667,MARYLAND,75.17,18.03
NORTHEAST MIDDLE,Maryland,MD ,Northeast Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,†,†,†,†,†,†,†,0,†,†,MARYLAND,†,†
NORTHERN GARRETT HIGH SCHOOL,Maryland,MD ,Northern Garrett High School,Garrett County,ACCIDENT,MD ,1-Regular school,2-No,2-No,3-High,449,449,4,0,440,449,235,214,MARYLAND,38,11.82
NORTHERN HIGH,Maryland,MD ,Northern High,Calvert County,OWINGS,MD ,1-Regular school,2-No,2-No,3-High,1484,1484,35,161,1164,1484,784,700,MARYLAND,80.17,18.51
NORTHERN MIDDLE,Maryland,MD ,Northern Middle,Calvert County,OWINGS,MD ,1-Regular school,2-No,2-No,2-Middle,679,679,17,46,542,679,335,344,MARYLAND,36.84,18.43
NORTHERN MIDDLE,Maryland,MD ,Northern Middle,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,2-Middle,700,700,22,167,374,700,351,349,MARYLAND,49.52,14.14
NORTHERN MIDDLE SCHOOL,Maryland,MD ,Northern Middle School,Garrett County,ACCIDENT,MD ,1-Regular school,2-No,2-No,2-Middle,316,316,1,1,293,316,159,157,MARYLAND,28,11.29
NORTHFIELD ELEMENTARY,Maryland,MD ,Northfield Elementary,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,1-Primary,702,702,199,45,356,702,379,323,MARYLAND,46.7,15.03
NORTHVIEW ELEMENTARY,Maryland,MD ,Northview Elementary,Prince George's County,BOWIE,MD ,1-Regular school,2-No,2-No,1-Primary,718,718,40,541,65,718,383,335,MARYLAND,42.5,16.89
NORTHWEST HIGH,Maryland,MD ,Northwest High,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,3-High,2255,2255,407,634,650,2255,1118,1137,MARYLAND,123.6,18.24
NORTHWEST MIDDLE,Maryland,MD ,Northwest Middle,Carroll County,TANEYTOWN,MD ,1-Regular school,2-No,2-No,2-Middle,512,512,5,25,442,512,235,277,MARYLAND,36.7,13.95
NORTHWESTERN ELEMENTARY,Maryland,MD ,Northwestern Elementary,Wicomico County,MARDELA SPRINGS,MD ,1-Regular school,2-No,2-No,1-Primary,302,302,7,24,223,302,148,154,MARYLAND,18,16.78
NORTHWESTERN EVENING/SATURDAY HIGH,Maryland,MD ,Northwestern Evening/Saturday High,Prince George's County,HYATTSVILLE,MD ,4-Alternative/other school,2-No,2-No,3-High,86,86,1,31,3,86,52,34,MARYLAND,2,43
NORTHWESTERN HIGH,Maryland,MD ,Northwestern High,Prince George's County,HYATTSVILLE,MD ,1-Regular school,2-No,1-Yes,3-High,2228,2228,38,748,52,2228,1164,1064,MARYLAND,150,14.85
NORTHWESTERN HIGH,Maryland,MD ,Northwestern High,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,509,509,1,446,7,509,313,196,MARYLAND,31,16.42
NORTHWOOD APPOLD COMMUNITY ACADEMY,Maryland,MD ,Northwood Appold Community Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,222,222,0,219,0,222,115,107,MARYLAND,14,15.86
NORTHWOOD ELEMENTARY,Maryland,MD ,Northwood Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,671,671,1,651,4,671,378,293,MARYLAND,35,19.17
NORTHWOOD HIGH SCHOOL,Maryland,MD ,Northwood High School,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,3-High,1579,1579,99,389,218,1579,790,789,MARYLAND,104.6,15.1
NORWOOD ELEMENTARY,Maryland,MD ,Norwood Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,513,513,33,55,286,513,281,232,MARYLAND,34.8,14.74
OAK HILL ELEMENTARY,Maryland,MD ,Oak Hill Elementary,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,1-Primary,674,674,31,36,527,674,359,315,MARYLAND,39.2,17.19
OAK VIEW ELEMENTARY,Maryland,MD ,Oak View Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,1-Primary,403,403,22,71,39,403,200,203,MARYLAND,25.3,15.93
OAKDALE ELEMENTARY,Maryland,MD ,Oakdale Elementary,Frederick County,IJAMSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,595,595,33,20,470,595,305,290,MARYLAND,35.5,16.76
OAKDALE HIGH,Maryland,MD ,Oakdale High,Frederick County,IJAMSVILLE,MD ,1-Regular school,2-No,2-No,3-High,1229,1229,36,57,1004,1229,652,577,MARYLAND,70,17.56
OAKDALE MIDDLE,Maryland,MD ,Oakdale Middle,Frederick County,IJAMSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,639,639,22,21,520,639,345,294,MARYLAND,36.5,17.51
OAKLAND MILLS HIGH,Maryland,MD ,Oakland Mills High,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,3-High,1120,1120,73,479,250,1120,581,539,MARYLAND,86,13.02
OAKLAND MILLS MIDDLE,Maryland,MD ,Oakland Mills Middle,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,2-Middle,454,454,23,167,134,454,238,216,MARYLAND,38,11.95
OAKLAND TERRACE ELEMENTARY,Maryland,MD ,Oakland Terrace Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,480,480,37,60,192,480,232,248,MARYLAND,36,13.33
OAKLANDS ELEMENTARY,Maryland,MD ,Oaklands Elementary,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,427,427,18,222,17,427,218,209,MARYLAND,26.56,16.08
OAKLEIGH ELEMENTARY,Maryland,MD ,Oakleigh Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,646,646,65,295,203,646,346,300,MARYLAND,36.6,17.65
OAKVILLE ELEMENTARY,Maryland,MD ,Oakville Elementary,St. Mary's County,MECHANICSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,289,289,1,19,229,289,143,146,MARYLAND,17.05,16.95
OAKWOOD ELEMENTARY,Maryland,MD ,Oakwood Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,296,296,16,67,149,296,167,129,MARYLAND,19.7,15.03
OCEAN CITY ELEMENTARY,Maryland,MD ,Ocean City Elementary,Worcester County,OCEAN CITY,MD ,1-Regular school,2-No,2-No,1-Primary,638,638,10,19,469,638,337,301,MARYLAND,45.45,14.04
ODENTON ELEMENTARY,Maryland,MD ,Odenton Elementary,Anne Arundel County,ODENTON,MD ,1-Regular school,2-No,2-No,1-Primary,459,459,15,124,193,459,232,227,MARYLAND,33.6,13.66
OKLAHOMA ROAD MIDDLE,Maryland,MD ,Oklahoma Road Middle,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,759,759,27,25,641,759,431,328,MARYLAND,48.3,15.71
OLD COURT MIDDLE,Maryland,MD ,Old Court Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,662,662,17,588,6,662,362,300,MARYLAND,45,14.71
OLD FORGE ELEMENTARY,Maryland,MD ,Old Forge Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,305,305,4,13,275,305,151,154,MARYLAND,18.33,16.64
OLD MILL HIGH,Maryland,MD ,Old Mill High,Anne Arundel County,MILLERSVILLE,MD ,1-Regular school,2-No,2-No,3-High,2126,2126,114,723,948,2126,1083,1043,MARYLAND,124.02,17.14
OLD MILL MIDDLE NORTH,Maryland,MD ,Old Mill Middle North,Anne Arundel County,MILLERSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,952,952,46,386,338,952,436,516,MARYLAND,64.18,14.83
OLD MILL MIDDLE SOUTH,Maryland,MD ,Old Mill Middle South,Anne Arundel County,MILLERSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,842,842,38,136,533,842,466,376,MARYLAND,62.68,13.43
OLIVER BEACH ELEMENTARY,Maryland,MD ,Oliver Beach Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,214,214,3,5,199,214,114,100,MARYLAND,16.4,13.05
OLNEY ELEMENTARY,Maryland,MD ,Olney Elementary,Montgomery County,OLNEY,MD ,1-Regular school,2-No,2-No,1-Primary,650,650,94,102,310,650,346,304,MARYLAND,33.4,19.46
ORCHARD GROVE ELEMENTARY,Maryland,MD ,Orchard Grove Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,633,633,41,161,245,633,326,307,MARYLAND,38.69,16.36
OREMS ELEMENTARY,Maryland,MD ,Orems Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,355,355,8,34,267,355,181,174,MARYLAND,21,16.9
OVERLEA HIGH & ACADEMY OF FINANCE,Maryland,MD ,Overlea High & Academy of Finance,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,3-High,960,960,22,651,197,960,522,438,MARYLAND,67,14.33
OVERLOOK ELEMENTARY,Maryland,MD ,Overlook Elementary,Anne Arundel County,LINTHICUM,MD ,1-Regular school,2-No,2-No,1-Primary,354,354,19,69,200,354,165,189,MARYLAND,24.1,14.69
OVERLOOK ELEMENTARY,Maryland,MD ,Overlook Elementary,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,1-Yes,1-Primary,250,250,2,218,6,250,113,137,MARYLAND,21.94,11.39
OWINGS MILLS ELEMENTARY,Maryland,MD ,Owings Mills Elementary,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,1-Primary,752,752,27,472,67,752,375,377,MARYLAND,48,15.67
OWINGS MILLS HIGH,Maryland,MD ,Owings Mills High,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,3-High,935,935,53,553,120,935,509,426,MARYLAND,65,14.38
OXON HILL ELEMENTARY,Maryland,MD ,Oxon Hill Elementary,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,2-No,1-Primary,336,336,28,195,25,336,196,140,MARYLAND,34.44,9.76
OXON HILL HIGH,Maryland,MD ,Oxon Hill High,Prince George's County,OXON HILL,MD ,1-Regular school,2-No,1-Yes,3-High,1448,1448,139,976,33,1448,697,751,MARYLAND,85,17.04
OXON HILL MIDDLE,Maryland,MD ,Oxon Hill Middle,Prince George's County,FORT WASHINGTON,MD ,1-Regular school,2-No,2-No,2-Middle,564,564,32,315,8,564,270,294,MARYLAND,50,11.28
PADONIA INTERNATIONAL ELEMENTARY,Maryland,MD ,Padonia International Elementary,Baltimore County,COCKEYSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,489,489,126,88,82,489,261,228,MARYLAND,33,14.82
PAINT BRANCH ELEMENTARY,Maryland,MD ,Paint Branch Elementary,Prince George's County,COLLEGE PARK,MD ,1-Regular school,2-No,2-No,1-Primary,384,384,17,118,63,384,216,168,MARYLAND,41.08,9.35
PAINT BRANCH HIGH,Maryland,MD ,Paint Branch High,Montgomery County,BURTONSVILLE,MD ,1-Regular school,2-No,2-No,3-High,1996,1996,282,1109,185,1996,1037,959,MARYLAND,114,17.51
PANGBORN ELEMENTARY,Maryland,MD ,Pangborn Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,745,745,23,210,321,745,362,383,MARYLAND,56.1,13.28
PANORAMA ELEMENTARY,Maryland,MD ,Panorama Elementary,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,2-No,1-Primary,556,556,5,485,4,556,290,266,MARYLAND,36.56,15.21
PARAMOUNT ELEMENTARY,Maryland,MD ,Paramount Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,348,348,18,50,247,348,173,175,MARYLAND,22.33,15.58
PARK ELEMENTARY,Maryland,MD ,Park Elementary,Anne Arundel County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,470,470,10,103,220,470,246,224,MARYLAND,36.6,12.84
PARK HALL ELEMENTARY,Maryland,MD ,Park Hall Elementary,St. Mary's County,PARK HALL,MD ,1-Regular school,2-No,2-No,1-Primary,635,635,15,242,249,635,337,298,MARYLAND,39.5,16.08
PARKDALE HIGH,Maryland,MD ,Parkdale High,Prince George's County,RIVERDALE,MD ,1-Regular school,2-No,1-Yes,3-High,2197,2197,75,875,79,2197,1193,1004,MARYLAND,138.6,15.85
PARKLAND MIDDLE,Maryland,MD ,Parkland Middle,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,1-Yes,2-Middle,964,964,169,236,106,964,509,455,MARYLAND,60.2,16.01
PARKSIDE ELEMENTARY,Maryland,MD ,Parkside Elementary,Allegany County,LAVALE,MD ,1-Regular school,2-No,2-No,1-Primary,215,215,9,9,174,215,120,95,MARYLAND,15.5,13.87
PARKSIDE HIGH,Maryland,MD ,Parkside High,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,3-High,1151,1151,50,375,628,1151,587,564,MARYLAND,97.5,11.81
PARKVILLE HIGH & CENTER FOR MATH/SCIENCE,Maryland,MD ,Parkville High & Center for Math/Science,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,3-High,1567,1567,135,684,480,1567,859,708,MARYLAND,107,14.64
PARKVILLE MIDDLE & CENTER OF TECHNOLOGY,Maryland,MD ,Parkville Middle & Center of Technology,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,2-Middle,1068,1068,93,322,541,1068,546,522,MARYLAND,64.6,16.53
PARKWAY ELEMENTARY,Maryland,MD ,Parkway Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,223,223,4,24,160,223,118,105,MARYLAND,18.8,11.86
PARR'S RIDGE ELEMENTARY,Maryland,MD ,Parr's Ridge Elementary,Carroll County,MT AIRY,MD ,1-Regular school,2-No,2-No,1-Primary,458,458,9,12,379,458,228,230,MARYLAND,29.5,15.53
PASADENA ELEMENTARY,Maryland,MD ,Pasadena Elementary,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,1-Primary,337,337,6,19,281,337,169,168,MARYLAND,24.7,13.64
PATAPSCO HIGH & CENTER FOR ARTS,Maryland,MD ,Patapsco High & Center for Arts,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,3-High,1463,1463,30,377,883,1463,636,827,MARYLAND,87.5,16.72
PATAPSCO MIDDLE,Maryland,MD ,Patapsco Middle,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,700,700,196,75,339,700,384,316,MARYLAND,48,14.58
PATTERSON HIGH,Maryland,MD ,Patterson High,Baltimore city,BALTIMORE,MD ,3-Vocational school,2-No,2-No,3-High,1098,1098,35,622,80,1098,619,479,MARYLAND,73.5,14.94
PATTERSON MILL HIGH SCHOOL,Maryland,MD ,Patterson Mill High School,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,3-High,833,833,48,67,637,833,415,418,MARYLAND,58.25,14.3
PATTERSON MILL MIDDLE SCHOOL,Maryland,MD ,Patterson Mill Middle School,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,2-Middle,698,698,41,52,535,698,350,348,MARYLAND,47.26,14.77
PATTERSON PARK PUBLIC CHARTER SCHOOL,Maryland,MD ,Patterson Park Public Charter School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,686,686,2,358,94,686,313,373,MARYLAND,47.5,14.44
PATUXENT APPEAL ELEMENTARY CAMPUS,Maryland,MD ,Patuxent Appeal Elementary Campus,Calvert County,LUSBY,MD ,1-Regular school,2-No,2-No,1-Primary,817,817,2,98,535,817,413,404,MARYLAND,56.3,14.51
