School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Edward M. Felegy ES,NR,Prince George's County,HYATTSVILLE,MD 
Eldersburg Elementary,8,Carroll County,SYKESVILLE,MD 
Eleanor Roosevelt High,7,Prince George's County,GREENBELT,MD 
Elk Neck Elementary,5,Cecil County,ELKTON,MD 
Elkridge Elementary,6,Howard County,ELKRIDGE,MD 
Elkridge Landing Middle,8,Howard County,ELKRIDGE,MD 
Elkton High,4,Cecil County,ELKTON,MD 
Elkton Middle,4,Cecil County,ELKTON,MD 
Ellicott Mills Middle,9,Howard County,ELLICOTT CITY,MD 
Elmer A. Henderson: A Johns Hopkins Partnership Sc,2,Baltimore city,BALTIMORE,MD 
Elmer A. Wolfe Elementary,6,Carroll County,UNION BRIDGE,MD 
Elmwood Elementary,3,Baltimore County,BALTIMORE,MD 
Emma K. Doub Elementary,5,Washington County,HAGERSTOWN,MD 
Emmitsburg Elementary,5,Frederick County,EMMITSBURG,MD 
